"nom";"sandre";"commune";"population";"longitude";"latitude"
"AMIENS";"''012020500000''";"AMIENS";160240;"2,2512674";"49,9253903"
"ANGERS LA BAUMETTE";"''0449007S0002''";"ANGERS";232606;"-0,574951";"47,455558"
"ANGLET (PONT DE L'AVEUGLE No2)";"''0564024V010''";"BIARRITZ";145484;"-1,4970418";"43,502283"
"AQUAVARA";"'0418033S0004'";"BOURGES";82803;"2,3816991";"47,0874261"
"AUXERRE - APPOIGNY";"''038901302000''";"AUXERRE";45110;"3,5481591";"47,8614802"
"BASTIA-SUD";"''060920033001''";"BASTIA";63319;"9,4441693";"42,6651827"
"BESANCON - PORT-DOUVOT";"''060925056002''";"BESANCON";155743;"5,9909302";"47,2049255"
"BONNEUIL-EN-FRANCE";"''039508801000''";"SARCELLES";327549;"2,421764";"48,9609313"
"BORDEAUX (LOUIS FARGUE 2)";"''0533063V006''";"BORDEAUX";835685;"-0,5651955";"44,8676919"
"CANNES";"''060906079001''";"CANNES";174714;"6,9498085";"43,5426945"
"CAP SICIE - AMPHITRIA";"''060983126001''";"TOULON";298838;"5,8513487";"43,0495438"
"CARCASSONNE NOUVELLE";"''060911069001''";"CARCASSONNE";61374;"2,3713471";"43,2250721"
"CARRE DE REUNION";"''037804301000''";"VERSAILLES";286006;"2,0784279";"48,8201216"
"CHALON SUR SAONE-PORT BAROIS";"''060971076001''";"CHALON-SUR-SAONE";81120;"4,8480972";"46,7709358"
"CLERMONT-FERRAND";"''0463113S0006''";"CLERMONT-FERRAND";246882;"3,1514788";"45,7999454"
"CRAN-GEVRIER - SILOE";"''060974093001''";"ANNECY";186373;"6,1063435";"45,911638"
"DIJON";"''060921231001''";"DIJON";231985;"5,0785087";"47,2912158"
"EVRY CENTRE-CAECE";"''039122801000''";"EVRY-COURCOURONNES";223490;"2,4650266";"48,6265409"
"GRANDE-SYNTHE";"''011051300000''";"GRANDE-SYNTHE";123003;"2,3007899";"51,0010192"
"GRENOBLE / AQUAPOLE";"''060938170002''";"GRENOBLE";472781;"5,6456414";"45,2537038"
"LA BAULE-ESCOUBLAC-GUERANDE LIVERY";"''0444069S0002''";"GUERANDE";49912;"-2,4352015";"47,3054964"
"LA ROCHELLE";"''0417300S0002''";"LA ROCHELLE";126318;"-1,1896508";"46,1511711"
"LAGNY-SUR-MARNE ST THIBAULT-DES-VIGNES";"''037743801000''";"LAGNY-SUR-MARNE";220904;"2,6738983";"48,8723499"
"LE HAVRE";"''037635102000''";"HAVRE";236650;"0,15186";"49,4779717"
"LENS LOISON SOUS LENS";"''011039100000''";"LENS";151172;"2,8585816";"50,4389707"
"LESCAR";"''0564335V004''";"PAU";139125;"-0,438989";"43,3140789"
"LILLE-MARQUETTE-LEZ-LILLE";"''011031300000''";"LILLE";777099;"3,0702288";"50,6743454"
"LIMOGES";"''0487085S0012''";"LIMOGES";183686;"1,2590987";"45,8172363"
"LMM_LE MANS - LA CHAUVINIERE";"''0472181S0016''";"LE MANS";174385;"0,1702865";"47,9820919"
"LYON - SAINT FONS";"''060969199001''";"LYON";1431533;"4,8486855";"45,6911765"
"MAERA (EX CEREIREDE)";"''060934172001''";"MONTPELLIER";379774;"3,9061149";"43,5823571"
"MARSEILLE";"''060913055001''";"MARSEILLE";1118150;"5,4005371";"43,2704042"
"MAXEVILLE";"''025435700075''";"NANCY";275576;"6,1737629";"48,7122719"
"METZ";"''025745200219''";"METZ";219360;"6,192531";"49,1453885"
"MONDEVILLE";"''031443702000''";"CAEN";235015;"-0,3204715";"49,1854869"
"NANTES 1-TOUGAS";"''0444109S0011''";"NANTES";503367;"-1,6307433";"47,1968154"
"NICE-HALIOTIS";"''060906088001''";"NICE";399114;"7,2298901";"43,6758142"
"NIMES";"''060930189002''";"NIMES";153722;"4,3403418";"43,7898032"
"ORLEANS LA CHAPELLE-SAINT-MESMIN";"''0445075S0003''";"ORLEANS";223374;"1,8123209";"47,8739139"
"PARIS MARNE AVAL";"''039305101000''";"PARIS";11461715;"2,5207263";"48,8505114"
"PARIS SEINE-AMONT";"''039407401000''";"PARIS";11461715;"2,4585203";"48,7622774"
"PARIS SEINE-CENTRE";"''039202501000''";"PARIS";750000;"2,2459433";"48,932994"
"POITIERS LA FOLIE";"''0486194S0005''";"POITIERS";122368;"0,3543026";"46,6174401"
"REIMS";"''035147401000''";"REIMS";226589;"3,9901684";"49,2799866"
"RENNES";"''0435238S0004''";"RENNES";289717;"-1,7309875";"48,0985927"
"ROUBAIX-WATTRELOS";"'011056200000''";"ROUBAIX";399046;"3,2377551";"50,6915018"
"ROUEN";"''037649801000''";"ROUEN";364198;"1,0279567";"49,428391"
"SAINT-BRIEUC LE LEGUE";"''0422278S0002''";"SAINT-BRIEUC";84779;"-2,7390446";"48,5233526"
"SAINT-ETIENNE - FURANIA";"''0442218S0019''";"SAINT-ETIENNE";223293;"4,3462268";"45,4815248"
"SAUSHEIM";"''026830000459''";"MULHOUSE";206717;"7,4040298";"47,777444"
"STEU DE: BREST (ZONE-PORTUAIRE)";"''0429019S0010''";"BREST";183738;"-4,450393";"48,3885322"
"STRASBOURG - LA WANTZENAU";"''026751900405''";"STRASBOURG";489251;"7,8324315";"48,6319414"
"TOULOUSE GINESTOUS";"''0531555V018''";"TOULOUSE";725151;"1,4177714";"43,6290403"
"TOURS, LA RICHE LA GRANGE DAVID";"''0437195S0002''";"TOURS";286087;"0,6464626";"47,3777907"
"VALENCIENNES";"''011033500000''";"VALENCIENNES";79769;"3,5328992";"50,3698811"
